SPAWN EXTRACTION REPORT
======================================================================

Graph Points: 5345 extracted from original game graph

Only in original (3295):
  DV_zone_mine_gravitational (section=zone_mine_gravitational_average, gvid=1435, level=l04_darkvalley)
    Original: 210 bytes, gvid=4478, lvid=646553
    Generated: 210 bytes, gvid=4089, lvid=1485369
  jup_a6_animpoint_yar (level=jupiter):
    Original: 209 bytes, gvid=4478, lvid=643177
    Generated: 209 bytes, gvid=4089, lvid=1485061
  jup_a6_camp_duty (level=jupiter):
    Original: 186 bytes, gvid=4463, lvid=1231404
    Generated: 187 bytes, gvid=4089, lvid=1485061
  jup_a6_camp_freedom (level=jupiter):
    Original: 189 bytes, gvid=4463, lvid=1231404
    Generated: 190 bytes, gvid=4089, lvid=1485061
  jup_a6_help_counter (level=jupiter):
    Original: 188 bytes, gvid=4463, lvid=1231404
    Generated: 189 bytes, gvid=4089, lvid=1485369
  jup_a6_ph_door (level=jupiter):
    Original: 254 bytes, gvid=4463, lvid=1231404
    Generated: 259 bytes, gvid=4089, lvid=1485061
  jup_a6_ph_door_0000 (level=jupiter):
    Original: 259 bytes, gvid=4463, lvid=1231404
    Generated: 264 bytes, gvid=4089, lvid=1485061
  jup_a6_ph_door_0001 (level=jupiter):
    Original: 265 bytes, gvid=4463, lvid=1231404
    Generated: 270 bytes, gvid=4089, lvid=1485369
  jup_a6_ph_door_0002 (level=jupiter):
    Original: 243 bytes, gvid=4463, lvid=1231404
    Generated: 247 bytes, gvid=4089, lvid=1485061
  jup_a6_ph_door_0003 (level=jupiter):
    Original: 243 bytes, gvid=4463, lvid=1231404
    Generated: 247 bytes, gvid=4089, lvid=1485369
  jup_a6_ph_rupor (level=jupiter):
    Original: 241 bytes, gvid=4463, lvid=1231404
    Generated: 245 bytes, gvid=4089, lvid=1485369
  jup_a6_ph_rupor_0000 (level=jupiter):
    Original: 246 bytes, gvid=4463, lvid=1231404
    Generated: 250 bytes, gvid=4089, lvid=1485061
  jup_a6_spot (level=jupiter):
    Original: 164 bytes, gvid=4463, lvid=1231404
    Generated: 165 bytes, gvid=4089, lvid=1485369
  jup_a6_sr_barmen (level=jupiter):
    Original: 213 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4089, lvid=1485061
  jup_a6_sr_light (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4089, lvid=1485061
  jup_a6_sr_sleep (level=jupiter):
    Original: 243 bytes, gvid=4463, lvid=1231404
    Generated: 247 bytes, gvid=4089, lvid=1485061
  jup_a6_trapper_zone (level=jupiter):
    Original: 167 bytes, gvid=4463, lvid=1231404
    Generated: 167 bytes, gvid=4089, lvid=1485061
  jup_a9 (level=jupiter):
    Original: 181 bytes, gvid=4693, lvid=1173240
    Generated: 182 bytes, gvid=4089, lvid=1231628
  jup_a9_animpoint_1 (level=jupiter):
    Original: 204 bytes, gvid=4693, lvid=1170456
    Generated: 204 bytes, gvid=4089, lvid=1251823
  jup_a9_cam_1 (level=jupiter):
    Original: 174 bytes, gvid=4463, lvid=1231404
    Generated: 175 bytes, gvid=4091, lvid=164308
  jup_a9_cam_1_animpoint (level=jupiter):
    Original: 211 bytes, gvid=4700, lvid=1427944
    Generated: 211 bytes, gvid=4091, lvid=164308
  jup_a9_cam_2 (level=jupiter):
    Original: 172 bytes, gvid=4463, lvid=1231404
    Generated: 173 bytes, gvid=4091, lvid=652546
  jup_a9_cam_2_animpoint (level=jupiter):
    Original: 211 bytes, gvid=4773, lvid=1378096
    Generated: 211 bytes, gvid=4091, lvid=652546
  jup_a9_cam_3_animpoint (level=jupiter):
    Original: 211 bytes, gvid=4517, lvid=1234541
    Generated: 211 bytes, gvid=4091, lvid=942824
  jup_a9_camp (level=jupiter):
    Original: 181 bytes, gvid=4463, lvid=1231404
    Generated: 182 bytes, gvid=4089, lvid=1251826
  jup_a9_spot (level=jupiter):
    Original: 164 bytes, gvid=4463, lvid=1231404
    Generated: 165 bytes, gvid=4091, lvid=696731
  jup_ammo_12x70_buck_0000 (level=jupiter):
    Original: 173 bytes, gvid=4463, lvid=1231404
    Generated: 173 bytes, gvid=4089, lvid=1482678
  jup_ammo_5.45x39_ap (level=jupiter):
    Original: 167 bytes, gvid=4463, lvid=1231404
    Generated: 167 bytes, gvid=4089, lvid=1482678
  jup_ammo_5.45x39_fmj (level=jupiter):
    Original: 170 bytes, gvid=4463, lvid=1231404
    Generated: 170 bytes, gvid=4089, lvid=1482678
  jup_ammo_5.45x39_fmj_0000 (level=jupiter):
    Original: 175 bytes, gvid=4463, lvid=1231404
    Generated: 175 bytes, gvid=4089, lvid=1482678
  jup_ammo_9x18_pmm_0000 (level=jupiter):
    Original: 167 bytes, gvid=4463, lvid=1231404
    Generated: 167 bytes, gvid=4089, lvid=1482678
  jup_antirad (level=jupiter):
    Original: 149 bytes, gvid=4463, lvid=1231404
    Generated: 149 bytes, gvid=4089, lvid=1484632
  jup_b1 (level=jupiter):
    Original: 181 bytes, gvid=4581, lvid=140023
    Generated: 182 bytes, gvid=4089, lvid=1482690
  jup_b10_anomal_zone (level=jupiter):
    Original: 197 bytes, gvid=4463, lvid=1231404
    Generated: 199 bytes, gvid=4089, lvid=1482643
  jup_b10_mine_acidic_strong_01_01 (level=jupiter):
    Original: 186 bytes, gvid=4756, lvid=1297886
    Generated: 187 bytes, gvid=4089, lvid=1486174
  jup_b10_mine_acidic_strong_01_02 (level=jupiter):
    Original: 186 bytes, gvid=4756, lvid=1302079
    Generated: 187 bytes, gvid=4089, lvid=1486174
  jup_b10_mine_acidic_strong_01_03 (level=jupiter):
    Original: 186 bytes, gvid=4811, lvid=1320078
    Generated: 187 bytes, gvid=4089, lvid=1485488
  jup_b10_mine_acidic_strong_02 (level=jupiter):
    Original: 184 bytes, gvid=4653, lvid=1099917
    Generated: 185 bytes, gvid=4089, lvid=1485821
  jup_b10_mine_chemical_strong_03_01 (level=jupiter):
    Original: 189 bytes, gvid=4775, lvid=1462744
    Generated: 190 bytes, gvid=4091, lvid=408907
  jup_b10_mine_chemical_strong_03_02 (level=jupiter):
    Original: 189 bytes, gvid=4775, lvid=1453593
    Generated: 190 bytes, gvid=4091, lvid=408897
  jup_b10_mine_chemical_strong_03_03 (level=jupiter):
    Original: 189 bytes, gvid=4819, lvid=1473355
    Generated: 190 bytes, gvid=4091, lvid=408914
  jup_b10_restrict_logic (level=jupiter):
    Original: 194 bytes, gvid=4463, lvid=1231404
    Generated: 195 bytes, gvid=4089, lvid=1482621
  jup_b10_secret_01 (level=jupiter):
    Original: 179 bytes, gvid=4756, lvid=1295558
    Generated: 277 bytes, gvid=4089, lvid=1486174
  jup_b10_secret_02 (level=jupiter):
    Original: 184 bytes, gvid=4653, lvid=1099905
    Generated: 282 bytes, gvid=4089, lvid=1485821
  jup_b10_secret_03 (level=jupiter):
    Original: 180 bytes, gvid=4775, lvid=1468795
    Generated: 278 bytes, gvid=4091, lvid=408909
  jup_b10_sr_warnzone (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4089, lvid=1485369
  jup_b10_zone_field_thermal_average (level=jupiter):
    Original: 191 bytes, gvid=4568, lvid=50105
    Generated: 192 bytes, gvid=4089, lvid=1482638
  jup_b10_zone_mine_thermal_average (level=jupiter):
    Original: 189 bytes, gvid=4568, lvid=28936
    Generated: 190 bytes, gvid=4089, lvid=1482621
  jup_b10_zone_mine_thermal_average_0000 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=31776
    Generated: 195 bytes, gvid=4089, lvid=1482622
  jup_b10_zone_mine_thermal_average_0001 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=47144
    Generated: 195 bytes, gvid=4089, lvid=1482635
  jup_b10_zone_mine_thermal_average_0002 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=70716
    Generated: 195 bytes, gvid=4089, lvid=1482649
  jup_b10_zone_mine_thermal_average_0003 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=80082
    Generated: 195 bytes, gvid=4089, lvid=1482658
  jup_b10_zone_mine_thermal_average_0004 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=77924
    Generated: 195 bytes, gvid=4089, lvid=1482657
  jup_b10_zone_mine_thermal_average_0005 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=51067
    Generated: 195 bytes, gvid=4089, lvid=1482639
  jup_b10_zone_mine_thermal_average_0006 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=66561
    Generated: 195 bytes, gvid=4089, lvid=1482646
  jup_b10_zone_mine_thermal_average_0007 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=40861
    Generated: 195 bytes, gvid=4089, lvid=1482629
  jup_b10_zone_mine_thermal_average_0008 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=62164
    Generated: 195 bytes, gvid=4089, lvid=1482643
  jup_b10_zone_mine_thermal_average_0009 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=51100
    Generated: 195 bytes, gvid=4089, lvid=1482638
  jup_b10_zone_mine_thermal_average_0010 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=52104
    Generated: 195 bytes, gvid=4089, lvid=1482640
  jup_b10_zone_mine_thermal_average_0011 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=49137
    Generated: 195 bytes, gvid=4089, lvid=1482636
  jup_b10_zone_mine_thermal_average_0012 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=46169
    Generated: 195 bytes, gvid=4089, lvid=1482634
  jup_b10_zone_mine_thermal_average_0013 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=41889
    Generated: 195 bytes, gvid=4089, lvid=1482632
  jup_b10_zone_mine_thermal_average_0014 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=35744
    Generated: 195 bytes, gvid=4089, lvid=1482625
  jup_b10_zone_mine_thermal_average_0015 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=27989
    Generated: 195 bytes, gvid=4089, lvid=1482620
  jup_b10_zone_mine_thermal_average_0016 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=38791
    Generated: 195 bytes, gvid=4089, lvid=1482627
  jup_b10_zone_mine_thermal_average_0017 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=41869
    Generated: 195 bytes, gvid=4089, lvid=1482632
  jup_b10_zone_mine_thermal_average_0018 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=47137
    Generated: 195 bytes, gvid=4089, lvid=1482634
  jup_b10_zone_mine_thermal_average_0019 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=57099
    Generated: 195 bytes, gvid=4089, lvid=1482642
  jup_b10_zone_mine_thermal_average_0020 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=44015
    Generated: 195 bytes, gvid=4089, lvid=1482633
  jup_b10_zone_mine_thermal_average_0021 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=60132
    Generated: 195 bytes, gvid=4089, lvid=1482643
  jup_b10_zone_mine_thermal_average_0022 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=66575
    Generated: 195 bytes, gvid=4089, lvid=1482645
  jup_b10_zone_mine_thermal_average_0023 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=71746
    Generated: 195 bytes, gvid=4089, lvid=1482650
  jup_b10_zone_mine_thermal_average_0024 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=56108
    Generated: 195 bytes, gvid=4089, lvid=1482642
  jup_b10_zone_mine_thermal_average_0025 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=41898
    Generated: 195 bytes, gvid=4089, lvid=1482630
  jup_b10_zone_mine_thermal_average_0026 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=47188
    Generated: 195 bytes, gvid=4089, lvid=1482634
  jup_b10_zone_mine_thermal_average_0027 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=44027
    Generated: 195 bytes, gvid=4089, lvid=1482633
  jup_b10_zone_mine_thermal_average_0028 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=53098
    Generated: 195 bytes, gvid=4089, lvid=1482641
  jup_b10_zone_mine_thermal_average_0029 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=28008
    Generated: 195 bytes, gvid=4089, lvid=1482620
  jup_b10_zone_mine_thermal_average_0030 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=60126
    Generated: 195 bytes, gvid=4089, lvid=1482643
  jup_b10_zone_mine_thermal_average_0031 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=44018
    Generated: 195 bytes, gvid=4089, lvid=1482633
  jup_b10_zone_mine_thermal_average_0032 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=53086
    Generated: 195 bytes, gvid=4089, lvid=1482640
  jup_b10_zone_mine_thermal_average_0033 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=71763
    Generated: 195 bytes, gvid=4089, lvid=1482650
  jup_b10_zone_mine_thermal_average_0034 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=76856
    Generated: 195 bytes, gvid=4089, lvid=1482655
  jup_b10_zone_mine_thermal_average_0035 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=53078
    Generated: 195 bytes, gvid=4089, lvid=1482641
  jup_b10_zone_mine_thermal_average_0036 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=62216
    Generated: 195 bytes, gvid=4089, lvid=1482643
  jup_b10_zone_mine_thermal_average_0037 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=66546
    Generated: 195 bytes, gvid=4089, lvid=1482646
  jup_b10_zone_mine_thermal_average_0038 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=54076
    Generated: 195 bytes, gvid=4089, lvid=1482642
  jup_b10_zone_mine_thermal_average_0039 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=39795
    Generated: 195 bytes, gvid=4089, lvid=1482628
  jup_b10_zone_mine_thermal_average_0040 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=37775
    Generated: 195 bytes, gvid=4089, lvid=1482626
  jup_b10_zone_mine_thermal_average_0041 (level=jupiter):
    Original: 194 bytes, gvid=4568, lvid=74773
    Generated: 195 bytes, gvid=4089, lvid=1482653
  jup_b10_zone_mine_thermal_average_0042 (level=jupiter):
    Original: 194 bytes, gvid=4791, lvid=82196
    Generated: 195 bytes, gvid=4089, lvid=1482661
  jup_b15_logic (level=jupiter):
    Original: 208 bytes, gvid=4463, lvid=1231404
    Generated: 209 bytes, gvid=4089, lvid=1485369
  jup_b15_sc_zulus (level=jupiter):
    Original: 205 bytes, gvid=4556, lvid=702880
    Generated: 205 bytes, gvid=4089, lvid=1485371
  jup_b15_sr_light (level=jupiter):
    Original: 213 bytes, gvid=4463, lvid=1231404
    Generated: 214 bytes, gvid=4089, lvid=1485369
  jup_b16_oasis (level=jupiter):
    Original: 182 bytes, gvid=4463, lvid=1231404
    Generated: 183 bytes, gvid=4091, lvid=804312
  jup_b16_show_1_sr (level=jupiter):
    Original: 181 bytes, gvid=4463, lvid=1231404
    Generated: 182 bytes, gvid=4091, lvid=851736
  jup_b16_show_2_sr (level=jupiter):
    Original: 181 bytes, gvid=4463, lvid=1231404
    Generated: 182 bytes, gvid=4091, lvid=883088
  jup_b16_show_3_sr (level=jupiter):
    Original: 181 bytes, gvid=4463, lvid=1231404
    Generated: 182 bytes, gvid=4091, lvid=886543
  jup_b16_show_4_sr (level=jupiter):
    Original: 181 bytes, gvid=4463, lvid=1231404
    Generated: 182 bytes, gvid=4091, lvid=886543
  jup_b16_sr_1_1 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=886557
  jup_b16_sr_1_2 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=883102
  jup_b16_sr_1_3 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=851741
  jup_b16_sr_1_4 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=851742
  jup_b16_sr_1_5 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=775837
  jup_b16_sr_2_1 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=886569
  jup_b16_sr_2_2 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=883114
  jup_b16_sr_2_3 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=851747
  jup_b16_sr_2_4 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=828737
  jup_b16_sr_2_5 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=775848
  jup_b16_sr_3_1 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=886580
  jup_b16_sr_3_2 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=886580
  jup_b16_sr_3_3 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=828743
  jup_b16_sr_3_4 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=828743
  jup_b16_sr_3_5 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=828743
  jup_b16_sr_4_1 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=886592
  jup_b16_sr_4_2 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=886592
  jup_b16_sr_4_3 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=828744
  jup_b16_sr_4_4 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=828744
  jup_b16_sr_4_5 (level=jupiter):
    Original: 212 bytes, gvid=4463, lvid=1231404
    Generated: 213 bytes, gvid=4091, lvid=828744
  jup_b16_sr_logic (level=jupiter):
    Original: 179 bytes, gvid=4463, lvid=1231404
    Generated: 180 bytes, gvid=4089, lvid=1484632
  jup_b16_sr_sound_1_1 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=886554
  jup_b16_sr_sound_1_2 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=883099
  jup_b16_sr_sound_1_3 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=851739
  jup_b16_sr_sound_1_4 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=800788
  jup_b16_sr_sound_1_5 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=775833
  jup_b16_sr_sound_2_1 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=886565
  jup_b16_sr_sound_2_2 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=883110
  jup_b16_sr_sound_2_3 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=851747
  jup_b16_sr_sound_2_4 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=828732
  jup_b16_sr_sound_2_5 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=804209
  jup_b16_sr_sound_3_1 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=886577
  jup_b16_sr_sound_3_2 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=883121
  jup_b16_sr_sound_3_3 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=828743
  jup_b16_sr_sound_3_4 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=828743
  jup_b16_sr_sound_3_5 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=828743
  jup_b16_sr_sound_4_1 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=886589
  jup_b16_sr_sound_4_2 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=886588
  jup_b16_sr_sound_4_3 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=828744
  jup_b16_sr_sound_4_4 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=828744
  jup_b16_sr_sound_4_5 (level=jupiter):
    Original: 219 bytes, gvid=4463, lvid=1231404
    Generated: 220 bytes, gvid=4091, lvid=828744
  jup_b16_teleport_logic_sr (level=jupiter):
    Original: 191 bytes, gvid=4463, lvid=1231404
    Generated: 192 bytes, gvid=4091, lvid=828705
  jup_b19 (level=jupiter):
    Original: 183 bytes, gvid=4526, lvid=139795
    Generated: 184 bytes, gvid=4089, lvid=1482690
  jup_b19_camp (level=jupiter):
    Original: 182 bytes, gvid=4463, lvid=1231404
    Generated: 183 bytes, gvid=4089, lvid=1482690
  jup_b19_spot (level=jupiter):
    Original: 166 bytes, gvid=4463, lvid=1231404
    Generated: 167 bytes, gvid=4089, lvid=1482690
  jup_b19_sr_actor_close_by_yar (level=jupiter):
    Original: 244 bytes, gvid=4463, lvid=1231404
    Generated: 245 bytes, gvid=4089, lvid=1482690
  jup_b19_sr_mercs_squad (level=jupiter):
    Original: 194 bytes, gvid=4463, lvid=1231404
    Generated: 195 bytes, gvid=4089, lvid=1477247
  jup_b19_sr_quest (level=jupiter):
    Original: 182 bytes, gvid=4463, lvid=1231404
    Generated: 185 bytes, gvid=4089, lvid=1482690
  jup_b19_sr_zombie_counter (level=jupiter):
    Original: 198 bytes, gvid=4463, lvid=1231404
    Generated: 199 bytes, gvid=4089, lvid=1482685
  jup_b19_sr_zombie_squad (level=jupiter):
    Original: 197 bytes, gvid=4463, lvid=1231404
    Generated: 198 bytes, gvid=4089, lvid=1482690
  jup_b1_animpoint_1 (level=jupiter):
    Original: 198 bytes, gvid=4581, lvid=123827
    Generated: 198 bytes, gvid=4089, lvid=1482686
  jup_b1_animpoint_2 (level=jupiter):
    Original: 204 bytes, gvid=4581, lvid=111778
    Generated: 204 bytes, gvid=4089, lvid=1482684
  jup_b1_anomal_zone (level=jupiter):
    Original: 195 bytes, gvid=4463, lvid=1231404
    Generated: 197 bytes, gvid=4089, lvid=1482674
  jup_b1_camp (level=jupiter):
    Original: 149 bytes, gvid=4463, lvid=1231404
    Generated: 150 bytes, gvid=4089, lvid=1482685
  jup_b1_campfire_1 (level=jupiter):
    Original: 172 bytes, gvid=4581, lvid=125006
    Generated: 172 bytes, gvid=4089, lvid=1482689
  jup_b1_door (level=jupiter):
    Original: 239 bytes, gvid=4463, lvid=1231404
    Generated: 244 bytes, gvid=4089, lvid=1482689
  jup_b1_fireball_zone (level=jupiter):
    Original: 223 bytes, gvid=4463, lvid=1231404
    Generated: 224 bytes, gvid=4089, lvid=1482669
  jup_b1_light_zone (level=jupiter):
    Original: 211 bytes, gvid=4463, lvid=1231404
    Generated: 212 bytes, gvid=4089, lvid=1482690
  jup_b1_spawn (level=jupiter):
    Original: 174 bytes, gvid=4463, lvid=1231404
    Generated: 175 bytes, gvid=4089, lvid=1477418
  jup_b1_spot (level=jupiter):
    Original: 164 bytes, gvid=4463, lvid=1231404
    Generated: 165 bytes, gvid=4089, lvid=1482642
  jup_b1_st_1_hide_1 (level=jupiter):
    Original: 259 bytes, gvid=4579, lvid=192400
    Generated: 259 bytes, gvid=4089, lvid=1484563
  jup_b1_st_4_hide_1 (level=jupiter):
    Original: 259 bytes, gvid=4579, lvid=207752
    Generated: 259 bytes, gvid=4089, lvid=1484563
  jup_b1_task (level=jupiter):
    Original: 172 bytes, gvid=4463, lvid=1231404
    Generated: 173 bytes, gvid=4089, lvid=1477416
  jup_b1_task_beacon (level=jupiter):
    Original: 178 bytes, gvid=4463, lvid=1231404
    Generated: 179 bytes, gvid=4089, lvid=1484575
  jup_b1_teleport (level=jupiter):
    Original: 180 bytes, gvid=4463, lvid=1231404
    Generated: 181 bytes, gvid=4089, lvid=1477414
  jup_b1_zone_field_psychic_average (level=jupiter):
    Original: 222 bytes, gvid=4822, lvid=98443
    Generated: 223 bytes, gvid=4089, lvid=1482675
  jup_b200 (level=jupiter):
    Original: 185 bytes, gvid=4495, lvid=1283331
    Generated: 186 bytes, gvid=4089, lvid=1486174
  jup_b200_anomal_zone (level=jupiter):
    Original: 199 bytes, gvid=4463, lvid=1231404
    Generated: 201 bytes, gvid=4089, lvid=1485488
  jup_b200_camp (level=jupiter):
    Original: 183 bytes, gvid=4463, lvid=1231404
    Generated: 184 bytes, gvid=4089, lvid=1486174
  jup_b200_mill_sr (level=jupiter):
    Original: 260 bytes, gvid=4463, lvid=1231404
    Generated: 264 bytes, gvid=4089, lvid=1485488
  jup_b200_spot (level=jupiter):
    Original: 168 bytes, gvid=4463, lvid=1231404
    Generated: 169 bytes, gvid=4089, lvid=1485488
  jup_b200_tushkan_smart_terrain (level=jupiter):
    Original: 229 bytes, gvid=4497, lvid=1316139
    Generated: 230 bytes, gvid=4089, lvid=1485488
  jup_b201_anomal_zone (level=jupiter):
    Original: 199 bytes, gvid=4463, lvid=1231404
    Generated: 201 bytes, gvid=4091, lvid=893837
  jup_b201_spot (level=jupiter):
    Original: 168 bytes, gvid=4463, lvid=1231404
    Generated: 169 bytes, gvid=4091, lvid=811611
  jup_b201_zone_field_acidic_average (level=jupiter):
    Original: 190 bytes, gvid=4706, lvid=1115245
    Generated: 191 bytes, gvid=4091, lvid=963437
  jup_b201_zone_field_acidic_average_0000 (level=jupiter):
    Original: 195 bytes, gvid=4706, lvid=1112941
    Generated: 196 bytes, gvid=4091, lvid=942712
  jup_b201_zone_field_acidic_average_0001 (level=jupiter):
    Original: 195 bytes, gvid=4706, lvid=1109507
    Generated: 196 bytes, gvid=4091, lvid=893873
  jup_b201_zone_field_acidic_average_0002 (level=jupiter):
    Original: 195 bytes, gvid=4706, lvid=1122038
    Generated: 196 bytes, gvid=4091, lvid=918344
  jup_b201_zone_field_acidic_average_0003 (level=jupiter):
    Original: 195 bytes, gvid=4706, lvid=1100526
    Generated: 196 bytes, gvid=4091, lvid=893874
  jup_b201_zone_field_acidic_average_0004 (level=jupiter):
    Original: 195 bytes, gvid=4706, lvid=1109507
    Generated: 196 bytes, gvid=4091, lvid=918338
  jup_b201_zone_field_acidic_average_0005 (level=jupiter):
